pdg_rank,gene_name,best_score,mean_score,n_ppi,best_rank,ppi_list
136,SMAD7,0.99936443567276,0.9985267817974091,2,25,"IREF,IREF_2015"
137,MYH10,0.9993103742599487,0.9983317255973816,2,34,"IREF,IREF_2015"
138,AMOT,0.999290943145752,0.9981228113174438,2,74,"IREF,MULTINET"
139,SYNE1,0.9992069602012634,0.9991298317909241,2,8,"IREF,IREF_2015"
140,DYRK1A,0.9986997842788696,0.9981181025505066,2,69,"IREF,IREF_2015"
141,EXOC4,0.999923586845398,0.999923586845398,1,1,STRING
142,SLIT2,0.999907374382019,0.999907374382019,1,2,STRING
143,TNK2,0.9998533725738525,0.9998533725738525,1,2,MULTINET
144,NFATC1,0.9998084902763367,0.9998084902763367,1,14,STRING
145,MEF2C,0.999796450138092,0.999796450138092,1,15,STRING
146,PLXNA1,0.9997945427894592,0.9997945427894592,1,16,STRING
147,FLNB,0.9997915625572205,0.9997915625572205,1,31,CPDB
148,KRT14,0.9997857213020325,0.9997857213020325,1,34,CPDB
149,PLXNA3,0.9997850060462952,0.9997850060462952,1,18,STRING
150,FZD1,0.9997848868370056,0.9997848868370056,1,19,STRING
151,SYNJ2,0.99978107213974,0.99978107213974,1,9,MULTINET
152,MACF1,0.9997770190238953,0.9997770190238953,1,37,CPDB
153,RPS6KA2,0.9997665286064148,0.9997665286064148,1,13,MULTINET
154,PLXND1,0.999762237071991,0.999762237071991,1,22,STRING
155,NIPBL,0.9997561573982239,0.9997561573982239,1,23,STRING
156,ITGB4,0.9997451901435852,0.9997451901435852,1,24,STRING
157,MED1,0.9997439980506897,0.9997439980506897,1,14,MULTINET
158,FBN2,0.9997429251670837,0.9997429251670837,1,44,CPDB
159,ANK3,0.999728262424469,0.999728262424469,1,49,CPDB
160,RPTOR,0.9997190833091736,0.9997190833091736,1,28,STRING
161,CFTR,0.9997124075889587,0.9997124075889587,1,13,PCNET
162,NFKBIA,0.9997110962867737,0.9997110962867737,1,14,PCNET
163,SERPINH1,0.9997096657752991,0.9997096657752991,1,15,PCNET
164,KRT5,0.9997052550315857,0.9997052550315857,1,57,CPDB
165,MAP3K7,0.999702513217926,0.999702513217926,1,31,STRING
166,FLT1,0.9996973276138306,0.9996973276138306,1,18,PCNET
167,TNRC6C,0.9996960163116455,0.9996960163116455,1,33,STRING
168,STAT4,0.9996923208236694,0.9996923208236694,1,34,STRING
169,SMARCA2,0.9996863603591919,0.9996863603591919,1,22,MULTINET
170,CPS1,0.9996854066848755,0.9996854066848755,1,20,PCNET
171,NCOA6,0.9996833801269531,0.9996833801269531,1,23,MULTINET
172,EPB41L3,0.9996697902679443,0.9996697902679443,1,62,CPDB
173,MYH14,0.9996683597564697,0.9996683597564697,1,23,PCNET
174,ITGA2,0.9996678829193115,0.9996678829193115,1,24,PCNET
175,CASP1,0.9996557235717773,0.9996557235717773,1,39,STRING
176,PI4KA,0.9996532201766968,0.9996532201766968,1,41,STRING
177,ACTG1,0.9996428489685059,0.9996428489685059,1,29,PCNET
178,OBSCN,0.9996415376663208,0.9996415376663208,1,66,CPDB
179,PLCG2,0.9996383190155029,0.9996383190155029,1,43,STRING
180,RBPJ,0.9996379613876343,0.9996379613876343,1,44,STRING
181,NOTCH4,0.999625563621521,0.999625563621521,1,48,STRING
182,MYH7,0.9996237754821777,0.9996237754821777,1,35,PCNET
